Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage	Taxon mnemonic	Components	Genome assembly ID	Genome representation	interpro_IPR013902_count
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	6067	C:99.6%[S:97.4%,D:2.2%],F:0.1%,M:0.3%,n:2137	Outlier (high value)	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Saccharomyces, Saccharomyces cerevisiae	YEAST	Chromosome I; Chromosome II; Chromosome III; Chromosome IV; Chromosome V; Chromosome VI; Chromosome VII; Chromosome VIII; Chromosome IX; Chromosome X; Chromosome XI; Chromosome XII; Chromosome XIII; Chromosome XIV; Chromosome XV; Chromosome XVI; Mitochondrion; Plasmid 2-micron	GCA_000146045.2	full	0
UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812	5220	C:81.8%[S:76.3%,D:5.5%],F:1.5%,M:16.8%,n:1706	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Schizosaccharomycetes, Schizosaccharomycetales, Schizosaccharomycetaceae, Schizosaccharomyces, Schizosaccharomyces pombe	SCHPO	Chromosome I; Chromosome II; Chromosome III; Mitochondrion	GCA_000002945.2	full	8
UP000000559	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	6036	C:98.8%[S:98.4%,D:0.5%],F:0.7%,M:0.5%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Pichiomycetes, Serinales, Debaryomycetaceae, Candida/Lodderomyces clade, Candida, Candida albicans	CANAL	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome R; Mitochondrion	GCA_000182965.3	full	1
UP000007978	Fusarium pseudograminearum (strain CS3096) (Wheat and barley crown-rot fungus)	1028729	12448	C:99.0%[S:98.9%,D:0.1%],F:0.3%,M:0.7%,n:4494	Close to standard (low value)	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium sambucinum species complex, Fusarium pseudograminearum	FUSPC	Chromosome 1; Chromosome 2; Chromosome 3; Mitochondrion MT; Chromosome 4; Unassembled WGS sequence	GCA_000303195.2	full	0
UP000009882	Penicillium digitatum (strain PHI26 / CECT 20796) (Green mold)	1170229	9101	C:94.9%[S:94.8%,D:0.1%],F:3.0%,M:2.1%,n:4191	Outlier (low value)	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Penicillium, Penicillium digitatum	PEND2	Mitochondrion MT; Unassembled WGS sequence	GCA_000315665.1	full	0
UP000013776	Taphrina deformans (strain PYCC 5710 / ATCC 11124 / CBS 356.35 / IMI 108563 / JCM 9778 / NBRC 8474) (Peach leaf curl fungus) (Lalaria deformans)	1097556	4647	C:66.1%[S:66.0%,D:0.1%],F:2.7%,M:31.2%,n:1706	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Taphrinomycetes, Taphrinales, Taphrinaceae, Taphrina, Taphrina deformans	TAPDE	Unassembled WGS sequence	GCA_000312925.2	full	0
UP000015441	Blumeria graminis f. sp. hordei (strain DH14) (Barley powdery mildew) (Oidium monilioides f. sp. hordei)	546991	6486	C:94.7%[S:94.2%,D:0.4%],F:2.5%,M:2.8%,n:3234	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Leotiomycetes, Erysiphales, Erysiphaceae, Blumeria, Blumeria hordei	BLUG1	Unassembled WGS sequence	GCA_000151065.3	full	0
UP000076580	Drechmeria coniospora (Nematophagous fungus) (Meria coniospora)	98403	8231	C:95.6%[S:95.4%,D:0.2%],F:1.0%,M:3.4%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Ophiocordycipitaceae, Drechmeria	DRECN	Chromosome 01; Chromosome 02; Chromosome 03; Unassembled WGS sequence	GCA_001625195.1	full	0
UP000092177	Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus)	759273	14636	C:98.7%[S:98.5%,D:0.1%],F:0.9%,M:0.5%,n:6841	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Glomerellales, Glomerellaceae, Colletotrichum, Colletotrichum destructivum species complex, Colletotrichum higginsianum	COLHI	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Unassembled WGS sequence	GCA_001672515.1	full	0
UP000000267	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17) (Kluyveromyces polysporus)	436907	5353	C:95.4%[S:91.9%,D:3.5%],F:1.5%,M:3.1%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Vanderwaltozyma, Vanderwaltozyma polyspora	VANPO	Unassembled WGS sequence; Mitochondrion	GCA_000150035.1	full	0
